name,technology,date,status,jobs,location,longitude,latitude,loan_amt,gen_energy,node,type,no_proj
"Nevada Geothermal Power Company, Inc. (blue Mountain)",Geothermal,Sep-11,Closed,14/200,"Humbolt County, CA",-123.9078298,40.7335469,partial guarantee of $98.5 million,Yes,851251,1705,
"NextEra Energy Resources, LLC (Desert Sunlight)",Solar Generation,Sep-11,Closed,15/500,"Riverside County, CA",-116.0201909,33.75303345,partial guarantee of $1.46 billion,Yes,851266,1705,
"NextEra Energy Resources, LLC (Genesis Solar)",Solar Generation,Jun-11,Closed,47/800,"Riverside County, CA",-116.0201909,33.75303345,partial guarantee of $1852 million,,851346,1705,
"NRG Energy, Inc. (BrightSource)",Solar Generation,Apr-11,Closed,"86/1,000","Baker, CA",-117.6675604,35.0421963,$1.6 billion,Yes,851356,1705,
NRG Solar (California Valley Solar Ranch),Solar Generation,Sep-11,Closed,15/350,"San Luis Obispo, CA",-120.6596156,35.2827525,$1.237 billion,Yes,851361,1705,
"NRG Solar, LLC (Agua Caliente)",Solar Generation,Aug-11,Closed,10/400,"Yuma County, AZ",-114.074901,32.751632,$967 million,Yes,851371,1705,
"Ormat Nevada, Inc.",Geothermal,Jun-11,Closed,64/332,"Jersey Valley, NV",-116.6194662,40.7886444,partial guarantee of $350 million,Yes,851386,1705,
"Ormat Nevada, Inc.",Geothermal,Jun-11,Closed,64/332,"McGinness Hills, NV",-119.7738052,39.4688186,partial guarantee of $350 million,Yes,851386,1705,
"Ormat Nevada, Inc.",Geothermal,Jun-11,Closed,64/332,"Tuscarora, NV",-116.2217565,41.3140735,partial guarantee of $350 million,Yes,851386,1705,
Record Hill Wind,Wind Generation,Aug-11,Closed,8/200,"Roxbury, ME",-70.5934009,44.6697827,$102 million,Yes,851396,1705,
"SolarReserve, LLC (Crescent Dunes)",Solar Generation,Jun-11,Closed,45/600,"Nye County, NV",-116.4069616,38.3544843,$737 million,,851406,1705,
Silyndra Inc.,Solar Manufacturing,Sep-09,Discontinued,"N/A/3,000","Fremont, CA",-121.9885719,37.5482697,$535 million,,no,1705,
Stephentown Spindle (Beacon Power),Energy Storage,Aug-10,Closed,14/20,"Stephentown, NY",-73.3739973,42.5486929,$43 million,,851416,1705,
"US Geothermal, Inc.",Geothermal,2/1011,Closed,10/150,"Malheur County, OR",-117.6916892,43.1023481,$97 million,Yes,851421,1705,
Fisker Automotive,,Apr-10,Discontinued,300,"Wilmington, DE",-75.546589,39.7459468,$529 million,,no,ATVM,2
Ford Motor Company,,Sep-09,Closed,33000,"Detroit,  MI",-83.0567375,42.3486635,$5.907 billion,,851431,ATVM,13
Ford Motor Company,,Sep-09,Closed,33000,"Kansas City, MO",-94.5630298,39.0844687,$5.907 billion,,851431,ATVM,13
Ford Motor Company,,Sep-09,Closed,33000,"Chicago, IL",-87.6243706,41.8756208,$5.907 billion,,851431,ATVM,13
Ford Motor Company,,Sep-09,Closed,33000,"Cincinnati, OH",-84.5124602,39.1014537,$5.907 billion,,851431,ATVM,13
"Nissan Borth America, Inc.",,Jan-10,Closed,1300,"Smyrna, TN",-86.5186045,35.9828413,$1.448 billion,,851436,ATVM,2
Tesia Motors,,Jan-10,Closed,1500,"Fremont, CA",-121.9885719,37.5482697,$465 million,,851441,ATVM,2
The Vehicle Production Group LLC,,Mar-11,Discontinued,900,"Mishawaka, IN",-86.1586156,41.6619927,$50 million,,no,ATVM,1
